FY19,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT,FID
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9000,Printing & Publishing,1000,1
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,311446,2
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,147693,3
FY19,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,EXPENSE,Other Services and Charges,9450,311 Call Center Services,17333,4
FY19,Authorities,Tax Increment Financing Authority,Administration,1000 - Administration,2470,Tax Increment Finance Authority,EXPENSE,Supplies,7520,Supplies,116400,5
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7814,West Side Corridor Improvement District,EXPENSE,Supplies,7520,Supplies,20000,6
FY19,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,EXPENSE,Other Services and Charges,8450,Claims,200000,7
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9100,Professional Development,1000,8
FY19,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,EXPENSE,Capital Outlays,9805,Computer Equipment,5000,9
FY19,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,EXPENSE,Other Services and Charges,8500,Telephone,1725,10
FY19,Authorities,Brownfield Redevelopment Authority,Administration,1000 - Administration,2430,Brownfield Operations,EXPENSE,Supplies,7520,Supplies,5920,11
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,55671,12
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7815,Michigan Street Corridor Improvement District,EXPENSE,Supplies,7520,Supplies,5000,13
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,902,14
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9110,Other Travel & Training,2000,15
FY19,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,EXPENSE,Other Services and Charges,9470,Employee Parking,3006,16
FY19,Adminitrative Services,Human Resources,Over 65 Health Care,2200 - Over 65 Health Care,6770,Health Insurance,EXPENSE,Other Services and Charges,8370,Health Insurance Claims,702512,17
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,23809,18
FY19,Authorities,SmartZone LDFA,Administration,1000 - Administration,2500,SmartZone LDFA,EXPENSE,Other Services and Charges,8010,Contractual Services,696361,19
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9130,Local Business Expense,1000,20
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7811,Southtown Corridor Improvement District,EXPENSE,Other Services and Charges,8010,Contractual Services,123814,21
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,20000,22
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,4249,23
FY19,Adminitrative Services,Human Resources,Over 65 Health Care,2200 - Over 65 Health Care,6770,Health Insurance,EXPENSE,Other Services and Charges,8380,Retiree Health-Other Ins Co,586140,24
FY19,Adminitrative Services,Human Resources,WC-Lost Wages,5201 - WC-Lost Wages,6771,Other Reserves-Insurance,EXPENSE,Other Services and Charges,8030,Administrative Services,160000,25
FY19,Authorities,Downtown Development Authority,Administration,1000 - Administration,2484,DDA Local Tax Increment,EXPENSE,Other Services and Charges,8010,Contractual Services,1095565,26
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7812,North Quarter Corridor Improvement District,EXPENSE,Other Services and Charges,8010,Contractual Services,4664,27
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,1300,28
FY19,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,68918,29
FY19,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,64800,30
FY19,Clerk's Office,Clerk,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9470,Employee Parking,9500,31
FY19,Attorney's Office,Attorney,Municipal Affairs,3000 - Municipal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,35000,32
FY19,Clerk's Office,Clerk,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9480,Computer Services-from IT,54486,33
FY19,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,10800,34
FY19,Authorities,Corridor Improvement Districts,Operations,2000 - Operations,7813,Uptown Corridor Improvement District,EXPENSE,Other Services and Charges,8010,Contractual Services,32750,35
FY19,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,6000,36
